"","PRICE","SQFT","AGE","NE"
"1",2050,2650,13,1
"2",2150,2664,6,1
"3",2150,2921,3,1
"4",1999,2580,4,1
"5",1900,2580,4,1
"6",1800,2774,2,1
"7",1560,1920,1,1
"8",1449,1710,1,1
"9",1375,1837,4,1
"10",1270,1880,8,1
"11",1250,2150,15,1
"12",1235,1894,14,1
"13",1170,1928,18,1
"14",1155,1767,16,1
"15",1110,1630,15,1
"16",1139,1680,17,1
"17",995,1500,15,1
"18",900,1400,16,1
"19",960,1573,17,1
"20",1695,2931,28,1
"21",1553,2200,28,1
"22",1020,1478,53,1
"23",1020,1713,30,1
"24",850,1190,41,1
"25",720,1121,46,1
"26",749,1733,43,1
"27",2150,2848,4,1
"28",1350,2253,23,1
"29",1299,2743,25,1
"30",1250,2180,17,1
"31",1239,1706,14,1
"32",1125,1710,16,1
"33",1080,2200,26,1
"34",1050,1680,13,1
"35",1049,1900,34,1
"36",934,1543,20,1
"37",875,1173,6,1
"38",805,1258,7,1
"39",729,1007,19,1
"40",710,1083,22,1
"41",975,1500,7,0
"42",939,1428,40,0
"43",2100,2116,25,0
"44",580,1051,15,0
"45",1844,2250,40,0
"46",699,1400,45,0
"47",1160,1720,5,0
"48",1109,1740,4,0
"49",1129,1700,6,0
"50",1050,1620,6,0
"51",1045,1630,6,0
"52",1050,1920,8,0
"53",1020,1606,5,0
"54",1000,1535,7,0
"55",1030,1540,6,0
"56",975,1739,13,0
"57",940,1305,5,0
"58",920,1415,7,0
"59",945,1580,9,0
"60",874,1236,3,0
"61",872,1229,6,0
"62",870,1273,4,0
"63",869,1165,7,0
"64",766,1200,7,0
"65",739,970,4,0
